#Gene	COSMIC_Tier1(n=578)	NEJM_Neuro(n=376)	PanCancer_SMGs(n=127)
FHIT	Tier1	NA	NA
BUB1B	Tier1	NA	NA
HIST1H4I	Tier1	NA	NA
STK11	Tier1	NA	CancerSMG
MEN1	Tier1	NA	NA
USP9X	NA	NA	CancerSMG
IL6ST	Tier1	NA	NA
JPH3	NA	NeuroD	NA
B2M	Tier1	NA	NA
PPP1CB	NA	NeuroD	NA
LIFR	Tier1	NA	CancerSMG
TAT	NA	NeuroD	NA
TWNK	NA	NeuroD	NA
CDC73	Tier1	NA	NA
PIK3CA	Tier1	NA	CancerSMG
PIK3CB	Tier1	NA	NA
NRIP1	NA	NeuroD	NA
PRNP	NA	NeuroD	NA
PIK3CG	NA	NA	CancerSMG
MAPK8	NA	NeuroD	NA
TBX20	NA	NeuroD	NA
ABCD1	NA	NeuroD	NA
MT-ATP6	NA	NeuroD	NA
CDC42BPA	NA	NeuroD	NA
CBLC	Tier1	NA	NA
CBLB	Tier1	NA	NA
ARHGEF12	Tier1	NA	NA
PRKAG2	NA	NeuroD	NA
TFE3	Tier1	NA	NA
NUP98	Tier1	NA	NA
WRN	Tier1	NA	NA
PLCB1	NA	NeuroD	NA
MUC1	Tier1	NA	NA
PNMT	NA	NeuroD	NA
PPP2R2A	NA	NeuroD	NA
PPARG	Tier1	NA	NA
SLC45A3	Tier1	NA	NA
RUBCN	NA	NeuroD	NA
CSF3R	Tier1	NA	NA
COQ8A	NA	NeuroD	NA
GATA2	Tier1	NA	NA
GATA3	Tier1	NA	CancerSMG
GATA1	Tier1	NA	NA
SFRP4	Tier1	NA	NA
POU2AF1	Tier1	NA	NA
CCND1	Tier1	NA	CancerSMG
MAX	Tier1	NA	NA
CCND3	Tier1	NA	NA
CCND2	Tier1	NA	NA
ATXN1	NA	NeuroD	NA
PTEN	Tier1	NA	CancerSMG
KCNJ6	NA	NeuroD	NA
MAF	Tier1	NeuroD	NA
CTCF	Tier1	NA	CancerSMG
IL7R	Tier1	NA	NA
IL21R	Tier1	NA	NA
JAM2	NA	NeuroD	NA
CDKN1B	Tier1	NA	CancerSMG
CDKN1A	NA	NA	CancerSMG
ALDH3A1	NA	NeuroD	NA
FAH	NA	NeuroD	NA
MLL3	NA	NA	CancerSMG
MLL2	NA	NA	CancerSMG
PUM1	NA	NeuroD	NA
SETBP1	Tier1	NA	CancerSMG
TRAF7	Tier1	NA	NA
